data,localidade,temp_min,temp_max,chuva_mm,evaporacao,horas_sol,vento_rajada_direcao,vento_rajada_velocidade,vento_direcao_9h,vento_direcao_15h,vento_veloc_9h,vento_veloc_15h,umidade_9h,umidade_15h,pressao_9h,pressao_15h,nuvem_9h,nuvem_15h,temp_9h,temp_15h,choveu_hoje,chove_amanha
08/10/2010,Sydney,13.8,19.5,0.0,4.6,9.5,ESE,35.0,NNE,ESE,4.0,19.0,73.0,56.0,1018.2,1015.8,6.0,1.0,16.5,19.1,No,No
09/10/2010,Sydney,15.8,18.9,0.0,5.2,0.0,ESE,31.0,ESE,ENE,20.0,11.0,59.0,55.0,1026.4,1025.3,4.0,4.0,17.0,18.3,No,
10/10/2010,Sydney,14.7,21.9,0.0,3.8,9.0,ESE,48.0,ESE,ESE,28.0,33.0,59.0,53.0,1031.2,1031.7,4.0,4.0,18.5,20.7,,Yes
11/10/2010,Sydney,16.5,21.1,1.2,6.2,6.6,ENE,56.0,NE,NE,26.0,20.0,62.0,55.0,1018.2,1015.8,6.0,7.0,19.6,20.9,Yes,No
12/10/2010,Sydney,16.4,21.8,1.0,6.0,5.9,NNE,50.0,NNE,NE,13.0,28.0,82.0,58.0,1018.2,1015.8,7.0,3.0,18.3,21.5,No,No
13/10/2010,Sydney,16.7,23.9,0.4,7.0,2.8,NNE,39.0,W,ENE,7.0,19.0,81.0,64.0,1018.2,1015.8,7.0,5.0,17.8,22.9,No,Yes
14/10/2010,Sydney,17.8,28.9,2.0,4.0,10.8,NNW,41.0,NNW,E,22.0,17.0,63.0,48.0,1011.2,1008.1,4.0,4.0,22.3,26.6,Yes,No
15/10/2010,Sydney,19.5,24.7,0.0,7.8,0.2,NNW,76.0,NE,NE,13.0,31.0,66.0,73.0,999.6,989.8,4.0,4.0,21.5,21.8,No,No
16/10/2010,Sydney,11.7,16.1,0.8,3.4,9.3,WNW,85.0,W,W,46.0,48.0,34.0,28.0,999.3,1003.6,4.0,4.0,12.9,15.2,No,No
17/10/2010,Sydney,9.9,24.0,0.0,6.6,12.1,W,41.0,W,SSE,24.0,4.0,44.0,30.0,1012.9,1011.3,4.0,4.0,14.7,23.3,No,No
18/10/2010,Sydney,12.6,24.2,0.0,7.2,12.3,W,39.0,WSW,NE,24.0,13.0,48.0,39.0,1018.2,1015.8,0.0,1.0,16.4,23.2,No,Yes
