data,localidade,temp_min,temp_max,chuva_mm,evaporacao,horas_sol,vento_rajada_direcao,vento_rajada_velocidade,vento_direcao_9h,vento_direcao_15h,vento_veloc_9h,vento_veloc_15h,umidade_9h,umidade_15h,pressao_9h,pressao_15h,nuvem_9h,nuvem_15h,temp_9h,temp_15h,choveu_hoje,chove_amanha,ano,mes,dia,cluster_temp_min,cluster_temp_max,cluster_temp_9h,cluster_temp_15h,cluster_umidade_9h,cluster_umidade_15h,cluster_chuva_mm,cluster_rajada_vento,cluster_hora_sol,cluster_pressao_at_9h,cluster_pressao_at_15h,cluster_nuvem_9h
2010-10-08,Sydney,13.8,19.5,0.0,4.6,9.5,ESE,35.0,NNE,ESE,4.0,19.0,73.0,56.0,1018.2,1015.8,6.0,1.0,16.5,19.1,No,No,2010,10,8,ameno,ameno,ameno,ameno,tropical,ameno,seco,moderado,muitas horas de sol,normal,normal,parcialmente nublado
2010-10-11,Sydney,16.5,21.1,1.2,6.2,6.6,ENE,56.0,NE,NE,26.0,20.0,62.0,55.0,1018.2,1015.8,6.0,7.0,19.6,20.9,Yes,No,2010,10,11,ameno,quente,ameno,quente,ameno,ameno,seco,forte,médias horas de sol,normal,normal,parcialmente nublado
2010-10-12,Sydney,16.4,21.8,1.0,6.0,5.9,NNE,50.0,NNE,NE,13.0,28.0,82.0,58.0,1018.2,1015.8,7.0,3.0,18.3,21.5,No,No,2010,10,12,ameno,quente,ameno,quente,tropical,ameno,seco,forte,médias horas de sol,normal,normal,parcialmente nublado
2010-10-13,Sydney,16.7,23.9,0.4,7.0,2.8,NNE,39.0,W,ENE,7.0,19.0,81.0,64.0,1018.2,1015.8,7.0,5.0,17.8,22.9,No,Yes,2010,10,13,ameno,quente,ameno,quente,tropical,ameno,seco,moderado,poucas horas de sol,normal,normal,parcialmente nublado
2010-10-14,Sydney,17.8,28.9,2.0,4.0,10.8,NNW,41.0,NNW,E,22.0,17.0,63.0,48.0,1011.2,1008.1,4.0,4.0,22.3,26.6,Yes,No,2010,10,14,ameno,quente,quente,quente,ameno,ameno,seco,forte,muitas horas de sol,normal,baixa,parcialmente nublado
2010-10-15,Sydney,19.5,24.7,0.0,7.8,0.2,NNW,76.0,NE,NE,13.0,31.0,66.0,73.0,999.6,989.8,4.0,4.0,21.5,21.8,No,No,2010,10,15,ameno,quente,quente,quente,ameno,tropical,seco,tempestade,poucas horas de sol,baixa,muito baixa,parcialmente nublado
2010-10-16,Sydney,11.7,16.1,0.8,3.4,9.3,WNW,85.0,W,W,46.0,48.0,34.0,28.0,999.3,1003.6,4.0,4.0,12.9,15.2,No,No,2010,10,16,ameno,ameno,ameno,ameno,seca,seca,seco,tempestade,muitas horas de sol,baixa,baixa,parcialmente nublado
2010-10-17,Sydney,9.9,24.0,0.0,6.6,12.1,W,41.0,W,SSE,24.0,4.0,44.0,30.0,1012.9,1011.3,4.0,4.0,14.7,23.3,No,No,2010,10,17,frio,quente,ameno,quente,ameno,seca,seco,forte,muitas horas de sol,normal,normal,parcialmente nublado
2010-10-18,Sydney,12.6,24.2,0.0,7.2,12.3,W,39.0,WSW,NE,24.0,13.0,48.0,39.0,1018.2,1015.8,0.0,1.0,16.4,23.2,No,Yes,2010,10,18,ameno,quente,ameno,quente,ameno,seca,seco,moderado,muitas horas de sol,normal,normal,parcialmente nublado
2010-10-19,Sydney,14.0,19.0,3.8,6.4,0.8,SSE,37.0,SSE,SSE,17.0,19.0,82.0,53.0,1018.2,1026.2,8.0,7.0,14.7,17.1,Yes,No,2010,10,19,ameno,ameno,ameno,ameno,tropical,ameno,moderada,moderado,poucas horas de sol,normal,alta,parcialmente nublado
2010-10-20,Sydney,12.9,20.3,0.2,3.0,10.9,ENE,37.0,W,E,11.0,26.0,70.0,57.0,1028.8,1025.6,3.0,1.0,16.9,19.8,No,No,2010,10,20,ameno,quente,ameno,ameno,ameno,ameno,seco,moderado,muitas horas de sol,alta,alta,parcialmente nublado
2010-10-21,Sydney,13.3,21.5,0.0,6.6,11.0,ENE,41.0,W,ENE,11.0,28.0,75.0,58.0,1025.9,1022.4,2.0,5.0,17.6,21.3,No,No,2010,10,21,ameno,quente,ameno,quente,tropical,ameno,seco,forte,muitas horas de sol,alta,alta,parcialmente nublado
