cidade;cidade_insuficiente;motivo;ano_inicio;ano_fim;n_total;n_treino;n_teste;n_features;prevalencia_total;prevalencia_teste;confiabilidade;scoring_valid;best_valid_score;best_params_json;score_valid;score_teste;alpha_recall;threshold;tp;tn;fp;fn;accuracy;precision;recall;f1;roc_auc;pr_auc
AliceSprings;False;;2008;2016;2224;1779;445;106;0.08408273381294964;0.07415730337078652;media;recall_accuracy;0.8273080147551979;"{""subsample"": 0.8, ""reg_lambda"": 2.0, ""n_estimators"": 800, ""min_child_weight"": 10, ""max_depth"": 2, ""learning_rate"": 0.01, ""gamma"": 0.5, ""colsample_bytree"": 1.0}";0.8273080147551979;0.8052093973442288;0.5;0.55;24;369;43;9;0.8831460674157303;0.3582089552238806;0.7272727272727273;0.48;0.9404972050603119;0.6024614487690242
Brisbane;False;;2008;2017;2979;2383;596;106;0.21651560926485397;0.20134228187919462;media;recall_accuracy;0.7752152020904984;"{""subsample"": 0.9, ""reg_lambda"": 2.0, ""n_estimators"": 200, ""min_child_weight"": 1, ""max_depth"": 2, ""learning_rate"": 0.05, ""gamma"": 1.0, ""colsample_bytree"": 0.7}";0.7752152020904984;0.7967002237136466;0.5;0.4;100;353;123;20;0.7600671140939598;0.4484304932735426;0.8333333333333334;0.5830903790087464;0.8798844537815126;0.6998968753352902
Cairns;False;;2008;2016;2444;1955;489;105;0.30728314238952537;0.310838445807771;media;recall_accuracy;0.7706356298277288;"{""subsample"": 0.8, ""reg_lambda"": 5.0, ""n_estimators"": 200, ""min_child_weight"": 10, ""max_depth"": 2, ""learning_rate"": 0.1, ""gamma"": 0.5, ""colsample_bytree"": 0.7}";0.7706356298277288;0.7700799160477881;0.5;0.4;125;226;111;27;0.7177914110429447;0.5296610169491526;0.8223684210526315;0.6443298969072165;0.859382320787131;0.7684800524641302
Canberra;False;;2007;2012;1092;873;219;106;0.20238095238095238;0.2694063926940639;media;recall_accuracy;0.7907800564003713;"{""subsample"": 0.8, ""reg_lambda"": 10.0, ""n_estimators"": 200, ""min_child_weight"": 3, ""max_depth"": 2, ""learning_rate"": 0.05, ""gamma"": 0, ""colsample_bytree"": 0.9}";0.7907800564003713;0.7280783221112916;0.5;0.45;42;121;39;17;0.7442922374429224;0.5185185185185185;0.711864406779661;0.6;0.8199152542372882;0.6753065509797749
Cobar;False;;2009;2010;534;427;107;106;0.11797752808988764;0.1588785046728972;baixa;recall_accuracy;0.8928380443086326;"{""subsample"": 0.7, ""reg_lambda"": 10.0, ""n_estimators"": 800, ""min_child_weight"": 5, ""max_depth"": 6, ""learning_rate"": 0.01, ""gamma"": 0.5, ""colsample_bytree"": 1.0}";0.8928380443086326;0.7380428807036834;0.5;0.55;10;85;5;7;0.8878504672897196;0.6666666666666666;0.5882352941176471;0.625;0.8771241830065359;0.6805079778609191
CoffsHarbour;False;;2009;2014;1383;1106;277;106;0.31308749096167754;0.2563176895306859;media;recall_accuracy;0.783849227285439;"{""subsample"": 0.8, ""reg_lambda"": 2.0, ""n_estimators"": 600, ""min_child_weight"": 1, ""max_depth"": 2, ""learning_rate"": 0.01, ""gamma"": 2.0, ""colsample_bytree"": 1.0}";0.783849227285439;0.7383942645039914;0.5;0.45;50;164;42;21;0.7725631768953068;0.5434782608695652;0.704225352112676;0.6134969325153374;0.8741966361274442;0.7143548464197721
Darwin;False;;2008;2017;3063;2450;613;106;0.257590597453477;0.27895595432300163;media;recall_accuracy;0.8427979407857372;"{""subsample"": 0.9, ""reg_lambda"": 5.0, ""n_estimators"": 800, ""min_child_weight"": 1, ""max_depth"": 2, ""learning_rate"": 0.01, ""gamma"": 0, ""colsample_bytree"": 0.7}";0.8427979407857372;0.8399015483243182;0.5;0.45;150;342;100;21;0.802610114192496;0.6;0.8771929824561403;0.7125890736342043;0.905612447408113;0.8006446671884248
Hobart;False;;2008;2017;1944;1555;389;106;0.2417695473251029;0.2493573264781491;media;recall_accuracy;0.7481028077168621;"{""subsample"": 1.0, ""reg_lambda"": 1.0, ""n_estimators"": 200, ""min_child_weight"": 7, ""max_depth"": 2, ""learning_rate"": 0.03, ""gamma"": 0, ""colsample_bytree"": 0.8}";0.7481028077168621;0.7851482786950414;0.5;0.4;82;200;92;15;0.7249357326478149;0.47126436781609193;0.845360824742268;0.6051660516605166;0.8231182036435533;0.6500268978521268
Melbourne;False;;2008;2017;4832;3865;967;106;0.2297185430463576;0.24095139607032057;alta;recall_accuracy;0.763428286187428;"{""subsample"": 0.7, ""reg_lambda"": 2.0, ""n_estimators"": 400, ""min_child_weight"": 1, ""max_depth"": 2, ""learning_rate"": 0.01, ""gamma"": 0, ""colsample_bytree"": 0.9}";0.763428286187428;0.7659213265220074;0.5;0.35;195;477;257;38;0.6949327817993796;0.4314159292035398;0.8369098712446352;0.5693430656934306;0.8371963840909356;0.6648479605778462
Mildura;False;;2009;2017;2595;2076;519;106;0.11136801541425818;0.10789980732177264;media;recall_accuracy;0.8364765380202126;"{""subsample"": 0.7, ""reg_lambda"": 2.0, ""n_estimators"": 400, ""min_child_weight"": 1, ""max_depth"": 2, ""learning_rate"": 0.01, ""gamma"": 0, ""colsample_bytree"": 0.9}";0.8364765380202126;0.7873314065510597;0.5;0.55;42;386;77;14;0.8246628131021194;0.35294117647058826;0.75;0.48;0.9066260413452638;0.5999346422748449
Moree;False;;2009;2016;1915;1532;383;106;0.13472584856396866;0.1122715404699739;media;recall_accuracy;0.8523123924334624;"{""subsample"": 0.7, ""reg_lambda"": 2.0, ""n_estimators"": 400, ""min_child_weight"": 10, ""max_depth"": 2, ""learning_rate"": 0.01, ""gamma"": 2.0, ""colsample_bytree"": 0.9}";0.8523123924334624;0.8495354909223389;0.5;0.5;35;304;36;8;0.8851174934725848;0.49295774647887325;0.813953488372093;0.6140350877192983;0.9402872777017783;0.6601400242554757
MountGambier;False;;2008;2016;2465;1972;493;106;0.2969574036511156;0.23123732251521298;media;recall_accuracy;0.8026341924488993;"{""subsample"": 1.0, ""reg_lambda"": 5.0, ""n_estimators"": 600, ""min_child_weight"": 5, ""max_depth"": 4, ""learning_rate"": 0.01, ""gamma"": 2.0, ""colsample_bytree"": 0.8}";0.8026341924488993;0.8071331981068289;0.5;0.35;95;290;89;19;0.7809330628803245;0.5163043478260869;0.8333333333333334;0.6375838926174496;0.8933712910243948;0.805359417103501
Nuriootpa;False;;2009;2016;2017;1613;404;106;0.19533961328705998;0.18564356435643564;media;recall_accuracy;0.8172945350396905;"{""subsample"": 0.7, ""reg_lambda"": 2.0, ""n_estimators"": 400, ""min_child_weight"": 10, ""max_depth"": 2, ""learning_rate"": 0.01, ""gamma"": 2.0, ""colsample_bytree"": 0.9}";0.8172945350396905;0.8357590759075908;0.5;0.3;68;241;88;7;0.7648514851485149;0.4358974358974359;0.9066666666666666;0.5887445887445888;0.9020466058763932;0.708859571786683
