cidade;cidade_insuficiente;motivo;ano_inicio;ano_fim;n_total;n_treino;n_teste;n_features;prevalencia_total;prevalencia_teste;confiabilidade;scoring_valid;best_valid_score;best_params_json;score_valid;score_teste;alpha_recall;threshold;tp;tn;fp;fn;accuracy;precision;recall;f1;roc_auc;pr_auc
AliceSprings;False;;2008;2016;2224;1779;445;106;0.08408273381294964;0.07415730337078652;media;recall;0.8188277582159624;"{""subsample"": 0.7, ""reg_lambda"": 2.0, ""n_estimators"": 400, ""min_child_weight"": 1, ""max_depth"": 2, ""learning_rate"": 0.01, ""gamma"": 0, ""colsample_bytree"": 0.9}";0.8188277582159624;0.8157303370786517;0.5;0.1;33;248;164;0;0.6314606741573033;0.16751269035532995;1.0;0.28695652173913044;0.926522506619594;0.5570097948789275
Brisbane;False;;2008;2017;2979;2383;596;106;0.21651560926485397;0.20134228187919462;media;recall;0.7699624585105491;"{""subsample"": 0.9, ""reg_lambda"": 2.0, ""n_estimators"": 600, ""min_child_weight"": 1, ""max_depth"": 3, ""learning_rate"": 0.01, ""gamma"": 2.0, ""colsample_bytree"": 1.0}";0.7699624585105491;0.7298937360178971;0.5;0.1;119;160;316;1;0.46812080536912754;0.2735632183908046;0.9916666666666667;0.42882882882882883;0.8828256302521008;0.7054346366179846
Cairns;False;;2008;2016;2444;1955;489;105;0.30728314238952537;0.310838445807771;media;recall;0.7690859569588848;"{""subsample"": 1.0, ""reg_lambda"": 5.0, ""n_estimators"": 600, ""min_child_weight"": 7, ""max_depth"": 2, ""learning_rate"": 0.05, ""gamma"": 1.0, ""colsample_bytree"": 0.8}";0.7690859569588848;0.7406428263911312;0.5;0.1;149;96;241;3;0.5010224948875256;0.382051282051282;0.9802631578947368;0.5498154981549815;0.855302202092769;0.7607281768907318
Canberra;False;;2007;2012;1092;873;219;106;0.20238095238095238;0.2694063926940639;media;recall;0.7884459555936317;"{""subsample"": 0.9, ""reg_lambda"": 2.0, ""n_estimators"": 600, ""min_child_weight"": 1, ""max_depth"": 3, ""learning_rate"": 0.01, ""gamma"": 2.0, ""colsample_bytree"": 1.0}";0.7884459555936317;0.7338828264066248;0.5;0.1;54;67;93;5;0.5525114155251142;0.3673469387755102;0.9152542372881356;0.5242718446601942;0.8220338983050848;0.6939755980674893
Cobar;False;;2009;2010;534;427;107;106;0.11797752808988764;0.1588785046728972;baixa;recall;0.8928380443086326;"{""subsample"": 0.7, ""reg_lambda"": 10.0, ""n_estimators"": 800, ""min_child_weight"": 5, ""max_depth"": 6, ""learning_rate"": 0.01, ""gamma"": 0.5, ""colsample_bytree"": 1.0}";0.8928380443086326;0.7902693787795492;0.5;0.1;14;67;23;3;0.7570093457943925;0.3783783783783784;0.8235294117647058;0.5185185185185185;0.8771241830065359;0.6805079778609191
CoffsHarbour;False;;2009;2014;1383;1106;277;106;0.31308749096167754;0.2563176895306859;media;recall;0.783849227285439;"{""subsample"": 0.8, ""reg_lambda"": 2.0, ""n_estimators"": 600, ""min_child_weight"": 1, ""max_depth"": 2, ""learning_rate"": 0.01, ""gamma"": 2.0, ""colsample_bytree"": 1.0}";0.783849227285439;0.7581227436823105;0.5;0.1;71;72;134;0;0.516245487364621;0.3463414634146341;1.0;0.5144927536231884;0.8741966361274442;0.7143548464197721
Darwin;False;;2008;2017;3063;2450;613;106;0.257590597453477;0.27895595432300163;media;recall;0.8427979407857372;"{""subsample"": 0.9, ""reg_lambda"": 5.0, ""n_estimators"": 800, ""min_child_weight"": 1, ""max_depth"": 2, ""learning_rate"": 0.01, ""gamma"": 0, ""colsample_bytree"": 0.7}";0.8427979407857372;0.7892828863894374;0.5;0.1;167;202;240;4;0.601957585644372;0.4103194103194103;0.9766081871345029;0.5778546712802768;0.905612447408113;0.8006446671884248
Hobart;False;;2008;2017;1944;1555;389;106;0.2417695473251029;0.2493573264781491;media;recall;0.7472221325998527;"{""subsample"": 0.9, ""reg_lambda"": 10.0, ""n_estimators"": 200, ""min_child_weight"": 10, ""max_depth"": 6, ""learning_rate"": 0.01, ""gamma"": 0.5, ""colsample_bytree"": 0.8}";0.7472221325998527;0.6246786632390745;0.5;0.1;97;0;292;0;0.2493573264781491;0.2493573264781491;1.0;0.3991769547325103;0.8214235277503178;0.6347256722214168
Melbourne;False;;2008;2017;4832;3865;967;106;0.2297185430463576;0.24095139607032057;alta;recall;0.763428286187428;"{""subsample"": 0.7, ""reg_lambda"": 2.0, ""n_estimators"": 400, ""min_child_weight"": 1, ""max_depth"": 2, ""learning_rate"": 0.01, ""gamma"": 0, ""colsample_bytree"": 0.9}";0.763428286187428;0.676085499598333;0.5;0.1;230;123;611;3;0.3650465356773526;0.2734839476813318;0.9871244635193133;0.42830540037243947;0.8371963840909356;0.6648479605778462
Mildura;False;;2009;2017;2595;2076;519;106;0.11136801541425818;0.10789980732177264;media;recall;0.8364765380202126;"{""subsample"": 0.7, ""reg_lambda"": 2.0, ""n_estimators"": 400, ""min_child_weight"": 1, ""max_depth"": 2, ""learning_rate"": 0.01, ""gamma"": 0, ""colsample_bytree"": 0.9}";0.8364765380202126;0.7350674373795761;0.5;0.1;56;188;275;0;0.4701348747591522;0.1691842900302115;1.0;0.28940568475452194;0.9066260413452638;0.5999346422748449
