data;y_real;prob_chuva;pred_chuva;split
2007-11-01;1;0.37128767;0;train
2007-11-02;1;0.34020254;0;train
2007-11-03;1;0.8404719;1;train
2007-11-04;1;0.36845788;0;train
2007-11-05;0;0.072003275;0;train
2007-11-06;0;0.08509466;0;train
2007-11-07;0;0.08714486;0;train
2007-11-08;0;0.17232555;0;train
2007-11-09;1;0.35205102;0;train
2007-11-10;0;0.059520204;0;train
2007-11-11;0;0.025621288;0;train
2007-11-12;0;0.039333746;0;train
2007-11-13;0;0.017125923;0;train
2007-11-14;0;0.03006495;0;train
2007-11-15;0;0.009312111;0;train
2007-11-16;0;0.041271046;0;train
2007-11-17;1;0.16501024;0;train
2007-11-18;0;0.16387308;0;train
2007-11-19;0;0.024937537;0;train
2007-11-20;0;0.032669757;0;train
2007-11-21;0;0.61377203;1;train
2007-11-22;1;0.595667;1;train
2007-11-23;0;0.34755194;0;train
2007-11-24;0;0.08950612;0;train
2007-11-25;0;0.051045354;0;train
2007-11-26;0;0.23956771;0;train
2007-11-27;0;0.23759094;0;train
2007-11-28;0;0.12005374;0;train
2007-11-29;0;0.64593554;1;train
2007-11-30;1;0.39376125;0;train
2007-12-01;1;0.9402903;1;train
2007-12-02;0;0.07892207;0;train
2007-12-03;1;0.69172156;1;train
2007-12-04;0;0.061585505;0;train
2007-12-05;0;0.021973755;0;train
2007-12-06;0;0.118215024;0;train
2007-12-07;1;0.5777771;1;train
2007-12-08;0;0.15758258;0;train
2007-12-09;0;0.03293984;0;train
2007-12-10;0;0.073405124;0;train
2007-12-11;0;0.28290242;0;train
2007-12-12;0;0.055255115;0;train
2007-12-13;0;0.15114735;0;train
2007-12-14;0;0.03570632;0;train
2007-12-15;1;0.21183564;0;train
2007-12-16;1;0.9620581;1;train
2007-12-17;0;0.047373284;0;train
2007-12-18;0;0.07646254;0;train
2007-12-19;1;0.39264953;0;train
2007-12-20;1;0.44037178;0;train
2007-12-21;1;0.55683744;1;train
2007-12-22;1;0.75908655;1;train
2007-12-23;0;0.21319692;0;train
2007-12-24;1;0.10827707;0;train
2007-12-25;0;0.13093978;0;train
2007-12-26;0;0.026376236;0;train
2007-12-27;1;0.6085512;1;train
2007-12-28;0;0.06838653;0;train
2007-12-29;0;0.022011813;0;train
2007-12-30;0;0.003030276;0;train
2007-12-31;0;0.0032620435;0;train
2008-01-01;0;0.011278068;0;train
2008-01-02;0;0.008953419;0;train
2008-01-03;0;0.30856192;0;train
2008-01-04;0;0.04454547;0;train
2008-01-05;0;0.08193614;0;train
2008-01-06;0;0.051726192;0;train
2008-01-07;0;0.015904645;0;train
2008-01-08;0;0.0789505;0;train
2008-01-09;0;0.03870495;0;train
2008-01-10;0;0.012453993;0;train
2008-01-11;0;0.14791648;0;train
2008-01-12;1;0.52714807;0;train
2008-01-13;0;0.061871752;0;train
2008-01-14;0;0.35092667;0;train
2008-01-15;0;0.03714337;0;train
2008-01-16;1;0.6509778;1;train
2008-01-17;0;0.00962448;0;train
2008-01-18;1;0.36509493;0;train
2008-01-19;1;0.9607544;1;train
2008-01-20;0;0.6643825;1;train
2008-01-21;0;0.3272979;0;train
2008-01-22;0;0.026841149;0;train
2008-01-23;0;0.03233781;0;train
2008-01-24;0;0.077956714;0;train
2008-01-25;0;0.10213398;0;train
2008-01-26;0;0.16512683;0;train
2008-01-27;0;0.14168236;0;train
2008-01-28;0;0.018669035;0;train
2008-01-29;0;0.0039376807;0;train
2008-01-30;1;0.51884955;0;train
2008-01-31;1;0.40139154;0;train
2008-02-01;0;0.13113008;0;train
2008-02-02;0;0.12135725;0;train
2008-02-03;1;0.21168157;0;train
2008-02-04;1;0.80724394;1;train
2008-02-05;0;0.52034307;0;train
2008-02-06;0;0.5732096;1;train
2008-02-07;1;0.8549336;1;train
2008-02-08;0;0.3464115;0;train
2008-02-09;0;0.107188456;0;train
2008-02-10;0;0.14311263;0;train
2008-02-11;1;0.14963907;0;train
2008-02-12;1;0.6796974;1;train
2008-02-13;0;0.33838296;0;train
2008-02-14;0;0.006862107;0;train
2008-02-15;0;0.009539776;0;train
2008-02-16;0;0.013287709;0;train
2008-02-17;0;0.025541129;0;train
2008-02-18;0;0.038065802;0;train
2008-02-19;0;0.03682403;0;train
2008-02-20;1;0.46126541;0;train
2008-02-21;1;0.7351203;1;train
2008-02-23;0;0.026313636;0;train
2008-02-24;0;0.024236456;0;train
2008-02-25;0;0.03184732;0;train
2008-02-26;0;0.06736045;0;train
2008-02-28;1;0.80722475;1;train
2008-02-29;0;0.013080852;0;train
2008-03-01;0;0.0070609124;0;train
2008-03-02;0;0.022984924;0;train
2008-03-03;0;0.032780576;0;train
2008-03-04;0;0.16321425;0;train
2008-03-05;0;0.0059093097;0;train
2008-03-06;0;0.038606312;0;train
2008-03-08;0;0.09071042;0;train
2008-03-09;0;0.006206608;0;train
2008-03-10;0;0.013780956;0;train
2008-03-11;0;0.046820693;0;train
2008-03-12;0;0.023118176;0;train
2008-03-13;0;0.006538323;0;train
2008-03-14;0;0.0035980702;0;train
2008-03-15;0;0.0061715357;0;train
2008-03-16;0;0.0055367923;0;train
2008-03-17;0;0.0025875005;0;train
2008-03-19;0;0.11219677;0;train
2008-03-21;0;0.118167266;0;train
2008-03-22;0;0.3166837;0;train
2008-03-23;0;0.0551877;0;train
2008-03-24;1;0.45221484;0;train
2008-03-25;1;0.9814435;1;train
2008-03-26;0;0.13874607;0;train
2008-03-27;0;0.04742265;0;train
2008-03-28;0;0.023549177;0;train
2008-03-29;0;0.17211044;0;train
2008-03-30;0;0.0473552;0;train
2008-03-31;0;0.0926953;0;train
2008-04-01;0;0.01361187;0;train
2008-04-02;1;0.65433997;1;train
2008-04-03;0;0.069493845;0;train
2008-04-04;0;0.0097404905;0;train
2008-04-05;0;0.005662246;0;train
2008-04-06;0;0.060604155;0;train
2008-04-07;0;0.049861502;0;train
2008-04-08;0;0.12257704;0;train
2008-04-09;0;0.036253955;0;train
2008-04-10;0;0.019456413;0;train
2008-04-11;0;0.03582228;0;train
2008-04-12;1;0.11956153;0;train
2008-04-13;1;0.32044587;0;train
2008-04-14;0;0.027211675;0;train
2008-04-15;0;0.017182715;0;train
2008-04-16;0;0.010175002;0;train
2008-04-17;0;0.029956514;0;train
2008-04-18;0;0.08581501;0;train
2008-04-19;0;0.10305827;0;train
2008-04-20;0;0.16880846;0;train
2008-04-21;0;0.023033304;0;train
2008-04-22;0;0.029850597;0;train
2008-04-24;0;0.09098184;0;train
2008-04-26;0;0.38116834;0;train
2008-04-27;1;0.6892107;1;train
2008-04-28;0;0.38765225;0;train
2008-04-30;0;0.097403094;0;train
2008-05-01;0;0.100502126;0;train
2008-05-02;0;0.05907219;0;train
2008-05-03;0;0.03553436;0;train
2008-05-04;0;0.06694728;0;train
2008-05-05;0;0.35058314;0;train
2008-05-06;0;0.35542533;0;train
2008-05-07;0;0.029012434;0;train
2008-05-09;0;0.017836714;0;train
2008-05-10;0;0.017169217;0;train
2008-05-11;0;0.18824477;0;train
2008-05-13;0;0.027969258;0;train
2008-05-15;1;0.15366215;0;train
2008-05-16;0;0.48670375;0;train
2008-05-17;0;0.75115114;1;train
2008-05-18;0;0.17967267;0;train
2008-05-20;0;0.05214426;0;train
2008-05-21;0;0.022869565;0;train
2008-05-22;0;0.015478979;0;train
2008-05-23;0;0.011689638;0;train
2008-05-24;0;0.012800186;0;train
2008-05-25;1;0.10152375;0;train
2008-05-26;1;0.12679723;0;train
2008-05-29;0;0.010959009;0;train
2008-06-02;0;0.115720265;0;train
2008-06-03;1;0.61340207;1;train
2008-06-04;0;0.3187188;0;train
2008-06-05;0;0.092885084;0;train
2008-06-06;0;0.015909333;0;train
2008-06-07;0;0.016776167;0;train
2008-06-08;0;0.18662004;0;train
2008-06-11;0;0.32009208;0;train
2008-06-12;0;0.085504174;0;train
2008-06-13;0;0.23136821;0;train
2008-06-14;0;0.030968336;0;train
2008-06-15;0;0.06848522;0;train
2008-06-16;0;0.027847495;0;train
2008-06-17;0;0.022257112;0;train
2008-06-18;0;0.09963711;0;train
2008-06-19;1;0.226826;0;train
2008-06-20;0;0.59267515;1;train
2008-06-21;0;0.15279603;0;train
2008-06-22;0;0.045322884;0;train
2008-06-23;0;0.052426133;0;train
2008-06-24;0;0.21213447;0;train
2008-06-26;0;0.03650726;0;train
2008-06-27;0;0.03519002;0;train
2008-06-28;0;0.01687041;0;train
2008-06-29;0;0.026178766;0;train
2008-06-30;1;0.71947896;1;train
2008-07-01;0;0.15627967;0;train
2008-07-01;1;0.5722438;1;train
2008-07-01;0;0.23627278;0;train
2008-07-01;0;0.027788691;0;train
